supply_sets,trade_sets,dim_area
1,0,154.2
0,0,225.8
1,0,84.7
0,1,150.0
1,1,135.7
1,0,138.3
0,0,151.7
1,1,79.1
1,0,231.7
1,1,85.3
0,1,91.8
0,0,236.3
1,1,212.9
0,1,188.8
1,1,48.8
1,1,195.9
0,0,239.9
1,0,181.2
1,1,124.9
1,1,195.1
0,0,249.3
1,0,83.6
1,1,68.1
1,0,128.2
1,1,136.2
0,0,108.9
0,0,99.5
1,0,58.5
1,1,105.1
1,1,63.4
1,1,67.8
1,1,128.4
1,0,227.7
1,0,103.6
0,0,126.0
1,1,190.6
1,1,274.8
1,1,248.5
0,1,58.7
0,1,270.0
0,1,152.6
1,1,217.8
1,0,119.2
1,0,69.2
0,0,155.5
0,0,257.9
1,0,212.4
1,1,180.0
1,1,101.6
0,1,69.4
0,0,183.2
1,1,62.8
0,0,85.9
1,1,35.4
1,1,127.6
1,1,121.7
0,1,116.6
0,0,158.5
1,1,63.3
1,0,255.5
0,1,275.2
1,0,112.3
1,0,99.2
0,0,148.7
0,1,88.5
1,0,226.6
0,1,124.6
1,0,112.9
0,0,87.7
1,1,26.4
0,0,130.3
1,1,78.4
0,1,116.3
1,0,39.3
1,1,236.9
1,1,199.6
1,0,99.9
0,1,200.4
1,1,54.3
0,0,92.5
1,1,88.1
0,1,81.1
0,0,90.4
0,1,88.3
1,0,32.8
1,1,205.5
1,0,68.9
1,0,149.3
1,0,199.7
0,1,65.6
1,0,149.4
1,0,118.1
1,0,175.6
1,1,178.2
1,0,121.9
0,1,77.8
1,0,163.2
0,0,123.0
1,1,166.8
1,0,78.0
1,1,195.3
1,1,140.3
1,0,195.4
1,0,125.1
1,0,160.7
0,1,95.9
1,0,239.5
1,0,104.5
1,0,89.9
0,1,150.9
1,0,76.4
0,0,134.3
1,1,146.9
1,1,64.3
1,1,173.9
1,0,122.6
1,0,51.8
1,0,117.0
1,0,99.8
1,1,138.1
1,1,129.8
0,0,139.0
1,1,106.4
1,1,37.4
1,1,234.8
1,0,69.8
0,0,203.3
1,1,138.1
1,0,130.5
0,1,129.8
1,1,144.1
1,0,152.9
1,1,251.0
1,1,125.2
0,1,157.7
1,1,169.0
0,0,92.4
0,1,180.6
1,1,217.9
0,0,122.9
0,1,33.4
1,1,75.4
0,0,235.5
1,1,119.9
0,1,72.7
1,0,248.0
0,0,195.8
0,1,104.5
0,1,36.5
1,0,119.3
1,0,99.4
1,0,162.5
0,0,150.7
1,1,248.7
1,0,75.1
1,0,208.1
